socks4://181.129.182.138:5678,CO,Bucaramanga
socks4://179.1.209.72:5678,CO,Unknown
socks4://190.85.47.198:4145,CO,Unknown
socks4://181.205.46.178:4666,CO,Unknown
http://209.14.98.6:8080,CO,Unknown
http://190.7.138.78:8080,CO,Unknown
http://186.96.111.214:999,CO,Unknown
http://170.239.205.185:999,CO,Unknown
http://181.174.231.26:999,CO,Unknown
http://190.242.157.215:8080,CO,Cali
http://132.255.23.183:999,CO,Unknown
http://181.79.81.104:8080,CO,Unknown
http://200.29.232.230:8080,CO,Unknown
http://181.119.84.80:999,CO,Unknown
http://177.93.49.202:999,CO,Unknown
http://179.1.234.30:999,CO,Unknown
http://38.199.68.142:999,CO,Unknown
http://181.119.84.219:8080,CO,Unknown
http://186.190.224.86:999,CO,Unknown
http://190.99.192.158:999,CO,Unknown
http://207.230.8.66:999,CO,Unknown
http://190.60.59.181:999,CO,Unknown
http://209.14.114.14:999,CO,Unknown
http://38.224.21.1:999,CO,Unknown
http://38.191.200.66:999,CO,Unknown
http://38.191.203.229:999,CO,Unknown
http://207.230.8.74:999,CO,Unknown
http://24.152.58.154:999,CO,Unknown
http://38.191.214.251:999,CO,Unknown
http://209.14.119.68:999,CO,Unknown
http://204.199.120.30:999,CO,Unknown
http://201.184.68.220:8080,CO,Medell?n
socks4://201.184.239.75:5678,CO,Medell?n
