socks5://194.163.167.32:1080,FR,Lauterbourg
socks5://185.194.217.97:1080,FR,Unknown
http://91.121.88.53:443,FR,Unknown
http://51.38.191.151:443,FR,Unknown
http://144.91.90.109:443,FR,Unknown
http://89.117.55.119:443,FR,Unknown
http://51.254.213.34:443,FR,Unknown
http://62.138.18.91:443,FR,Unknown
http://130.180.208.145:443,FR,Unknown
http://51.83.190.248:443,FR,Unknown
http://162.19.49.131:443,FR,Unknown
http://94.23.9.170:443,FR,Unknown
http://212.83.168.126:8081,FR,Unknown
http://5.189.184.6:443,FR,Unknown
http://51.159.28.39:443,FR,Unknown
http://163.172.53.142:443,FR,Unknown
http://163.172.167.48:443,FR,Unknown
http://212.47.232.28:443,FR,Unknown
http://173.249.37.45:5006,FR,Unknown
http://173.249.37.45:5051,FR,Unknown
http://152.228.163.79:443,FR,Unknown
http://62.210.215.36:443,FR,Unknown
http://46.35.9.110:80,FR,Unknown
http://40.89.145.14:80,FR,Unknown
http://91.172.54.203:80,FR,Unknown
http://173.212.246.157:3128,FR,Unknown
http://178.170.43.106:8081,FR,Unknown
http://207.180.254.198:8080,FR,Unknown
http://38.242.212.16:3128,FR,Unknown
http://173.245.49.208:80,FR,Paris
http://173.245.49.45:80,FR,Paris
http://173.245.49.177:80,FR,Paris
http://173.245.49.3:80,FR,Paris
http://173.245.49.156:80,FR,Paris
http://173.245.49.214:80,FR,Paris
http://173.245.49.242:80,FR,Paris
http://173.245.49.222:80,FR,Paris
http://173.245.49.199:80,FR,Paris
http://173.245.49.160:80,FR,Paris
http://173.245.49.122:80,FR,Paris
http://173.245.49.69:80,FR,Paris
http://173.245.49.116:80,FR,Paris
http://173.245.49.86:80,FR,Paris
http://173.245.49.48:80,FR,Paris
http://173.245.49.35:80,FR,Paris
http://173.245.49.74:80,FR,Paris
http://173.245.49.27:80,FR,Paris
http://173.245.49.248:80,FR,Paris
http://173.245.49.115:80,FR,Paris
http://173.245.49.70:80,FR,Paris
http://173.245.49.97:80,FR,Paris
http://173.245.49.9:80,FR,Paris
http://173.245.49.71:80,FR,Paris
http://173.245.49.238:80,FR,Paris
http://173.245.49.82:80,FR,Paris
http://173.245.49.33:80,FR,Paris
http://173.245.49.202:80,FR,Paris
http://173.245.49.108:80,FR,Paris
http://173.245.49.40:80,FR,Paris
http://173.245.49.75:80,FR,Paris
http://173.245.49.234:80,FR,Paris
http://173.245.49.46:80,FR,Paris
http://173.245.49.148:80,FR,Paris
http://173.245.49.212:80,FR,Paris
http://173.245.49.99:80,FR,Paris
http://173.245.49.29:80,FR,Paris
http://173.245.49.39:80,FR,Paris
http://173.245.49.38:80,FR,Paris
http://173.245.49.246:80,FR,Paris
http://173.245.49.155:80,FR,Paris
http://173.245.49.90:80,FR,Paris
http://173.245.49.89:80,FR,Paris
http://173.245.49.245:80,FR,Paris
http://173.245.49.190:80,FR,Paris
http://173.245.49.103:80,FR,Paris
http://173.245.49.198:80,FR,Paris
http://173.245.49.189:80,FR,Paris
http://173.245.49.210:80,FR,Paris
http://173.245.49.96:80,FR,Paris
http://173.245.49.78:80,FR,Paris
http://173.245.49.59:80,FR,Paris
